ITEM NUMBER	OLD REV	NEW REV	ECO NUMBER																									
100007899		0A1	1																									
100007899	0A1	00B	5384																									
109070021AL		OBS	1																									
100007900		0A1	1																									
100007901		00A	1																									
100007902		00B	1																									
100007753CM		00B	1																									
100007903		00A	1																									
100007904		00A	1																									
100007904	00A	00B	5384																									
100007904	00B	00C	6190																									
100007905		0A1	1																									
100007905	0A1	0A2	1823																									
100007905	0A2	00B	5384																									
100007905	00B	00C	5536																									
100007906		0A1	1																									
100007906	0A1	OBS	2026																									
100007907		00A	1																									
100007907	00A	00B	5472																									
100007908		00A	1																									
100007908	00A	00B	5472																									
100007909		0A1	1																									
100007909	0A1	00B	5472																									
100007910		0A1	1																									
100007910	0A1	0A2	2427																									
100007910	0A2	00B	5384																									
100007910	00B	00C	6190																									
100007911		00A	1																									
100007911	00A	00B	5536																									
100007912		00A	1																									
100007912	00A	0A1	1924																									
100007912	0A1	0A2	2394																									
100007912	0A2	00B	5472																									
100007912	00B	00C	6190A																									
109070021CE		00D	1																									
109070021CE	00D	00E	07-080																									
100007913		0A2	1																									
100007913	0A2	00B	5472																									
100007915		0A1	1																									
100007915	0A1	0A2	2772																									
100007915	0A2	00B	07-088																									
100007915	00B	00C	6190A																									
100007915	00C	0C1	19679																									
100007915	0C1	0C2	20705																									
100007916		00A	1																									
100007920		00A	1																									
100007920	00A	OBS	3412																									
100008509K		0C2	1																									
100008509K	0C2	00D	00-105																									
100007923		00G	1																									
100007923	00G	00H	01-043																									
100007924		00G	1																									
100007924	00G	OBS	07-080																									
100007925		00J	1																									
100007925	00J	00K	01-043																									
100007925	00K	0K1	2543																									
100007925	0K1	00L	04-070																									
100007925	00L	OBS	07-080																									
100007926		00A	1																									
100007927		00A	1																									
100007927	00A	00B	2772																									
100007927	00B	00C	5384																									
100007928		00B	1																									
100007928	00B	0B1	02-005																									
100007928	0B1	0B2	2772																									
100007928	0B2	00C	5384																									
100007928	00C	00D	5472																									
100007928	00D	00E	6190A																									
100007929		00B	1																									
100007929	00B	00C	5384																									
100007929	00C	0C1	11581																									
100007930		00B	1																									
100007930	00B	OBS	3412																									
100007930	OBS	00C	06-035																									
100007930	00C	00D	6190A																									
100003334JSP014		0B1	1																									
100311701		0B1	1																									
100311701	0B1	0B2	04-251																									
100311701	0B2	00C	05-068																									
100311701	00C	00D	07-057																									
100007932		00A	1																									
100311703		0C1	1																									
100311703	0C1	0C2	04-251																									
100311703	0C2	00D	07-057																									
100007933		00A	1																									
100007935		00A	1																									
100007936		00A	1																									
100007937		00E	1																									
100007937	00E	00F	01-043																									
100007938		00D	1																									
100007938	00D	00E	990275																									
100007938	00E	OBS	12737																									
100007939		00G	1																									
100007939	00G	00H	01-043																									
100007939	00H	00J	1934																									
100007939	00J	0J1	2543																									
100007939	0J1	OBS	12737																									
100007941		0A1	1																									
100007942		0A1	1																									
100007942	0A1	00B	5384																									
100007943		0A2	1																									
100007943	0A2	0A3	1782																									
100007943	0A3	00B	01-269																									
100007943	00B	OBS	07-198																									
100007944		00A	1																									
100007944	00A	00B	01-269																									
100007945		00A	1																									
100007945	00A	00B	5472																									
103170008SH		00A	1																									
103170008SH	00A	0A1	3317																									
103170008SH	0A1	00B	03-005																									
93-0708		00C	1																									
93-0708	00C	00D	07-060																									
100007951		00A	1																									
100007951	00A	00B	03-027																									
100007951	00B	00C	5536																									
100007952		00A	1																									
100007952	00A	OBS	2026																									
100007953		00A	1																									
100007954		0A2	1																									
100007954	0A2	00B	06-140																									
100007956		00A	1																									
100007957		00A	1																									
100007957	00A	00B	5384																									
100007958		0A1	1																									
100007958	0A1	0A2	2427																									
100007958	0A2	00B	5384																									
100007958	00B	00C	6190																									
100007960		00A	1																									
100007960	00A	00B	5384																									
100007961		0A1	1																									
100007961	0A1	00B	10672																									
100007962		00A	1																									
100007962	00A	00B	04-018																									
100000175		00C	1																									
100000176		00C	1																									
100000177		00D	1																									
100007967		00D	1																									
100007967	00D	00E	03-237																									
100007967	00E	0.00E+00	05-046																									
100007968		OBS	1																									
100007969		0C1	1																									
100007969	0C1	00D	5536																									
100007969	00D	00E	07-088																									
100007969	00E	0.00E+00	20705																									
100000183		00A	1																									
100000184		00A	1																									
100007973		0A1	1																									
100007973	0A1	0A2	4274																									
100007973	0A2	00B	5536A																									
100007973	00B	00C	6190																									
100000185		00A	1																									
93-0733		00A	1																									
100006178K		00C	1																									
100006178K	00C	OBS	2881																									
100007978		00B	1																									
100007978	00B	00C	06-180																									
100007978	00C	00D	06-268																									
100007978	00D	00E	21368																									
103150013JSP014		00D	1																									
103150013JSP014	00D	0D1	1037																									
103150013JSP014	0D1	OBS	05-239																									
100007754BH		00B	1																									
100000200		00C	1																									
100000200	00C	0C1	21705																									
100000201		00D	1																									
100000201	00D	0D1	21705																									
100000201	0D1	00E	21613																									
100000202		00E	1																									
100000202	00E	0.00E+00	21705																									
100007992		00B	1																									
100007993		00D	1																									
100007993	00D	0D1	07-127																									
93-0755		00A	1																									
93-0755	00A	00B	11909																									
109070022AL		OBS	1																									
100007754CM		00B	1																									
100006181K		0.00E+00	1																									
100006181K	0.00E+00	0.00E+00	2881																									
100000219		0.00E+00	1																									
100000219	0.00E+00	00F	03-213																									
100000219	00F	0F1	04-251																									
100000220		0G1	1																									
100000220	0G1	00H	03-213																									
100000220	00H	0H1	04-251																									
100008009		00A	1																									
100008011		00A	1																									
100008012		00A	1																									
100008012	00A	00B	5384																									
109070022CE		00D	1																									
109070022CE	00D	00E	07-080																									
100008013		0A1	1																									
100008014		0A1	1																									
100000237		00E	1																									
100000237	00E	00F	1956																									
99-7130A		OBS	1																									
99-7130B		OBS	1																									
93-0795		00A	1																									
103170009SH		00A	1																									
103170009SH	00A	00B	1654																									
103170009SH	00B	0B1	2443																									
103170009SH	0B1	00C	02-009																									
103170009SH	00C	00D	03-005																									
99-7130S		OBS	1																									
99-7130T		OBS	1																									
ZAPG310ABD		00B	1																									
100008066		00A	1																									
99-0577		00A	1																									
100008070		0A1	1																									
100008070	0A1	0A2	20705																									
100008071		00A	1																									
100008071	00A	0A1	20705																									
100000283		00C	1																									
100000284		00C	1																									
100008073		00A	1																									
100008074		0A1	1																									
100008074	0A1	0A2	20705																									
ZAPG310ACD		00B	1																									
100008075		00B	1																									
100008075	00B	OBS	3412																									
100008075	OBS	0B1	4111																									
100008075	0B1	00C	04-035																									
100008075	00C	00D	04-296																									
100000287		00A	1																									
100008076		00B	1																									
100008076	00B	OBS	3412																									
100008076	OBS	0B1	4111																									
100008076	0B1	00C	04-035																									
100008076	00C	0C1	11413																									
100008077		00D	1																									
100008077	00D	00E	03-237																									
100008077	00E	0.00E+00	05-046																									
ZAPG310ABS		00B	1																									
ZAPG310ABS	00B	OBS	12737																									
ZAPG310ADD		00B	1																									
100008088		00B	1																									
100008089		00B	1																									
ZAPG310ACS		00B	1																									
ZAPG310ACS	00B	OBS	12737																									
100008090		1	1																									
100008094		00B	1																									
100008094	00B	00C	09-032																									
100008094	00C	00D	18321																									
100008094	00D	00E	20276																									
ZAPG310AED		00B	1																									
100008095		00C	1																									
100008095	00C	OBS	08-177																									
100008096		0.00E+00	1																									
100008096	0.00E+00	00F	00-155A																									
100008096	00F	0F1	2266																									
100008096	0F1	0F2	2543																									
100008096	0F2	OBS	08-177																									
100008097		0C1	1																									
100008097	0C1	OBS	01-065																									
100008098		00A	1																									
100008098	00A	OBS	01-065																									
109070023AL		OBS	1																									
ZAPG310ADS		00B	1																									
ZAPG310ADS	00B	OBS	12737																									
100008103		00B	1																									
100008104		00B	1																									
93-0862		00A	1																									
ZAPG310AFD		00B	1																									
100008106		00A	1																									
ZAPG310AES		00B	1																									
ZAPG310AES	00B	OBS	12737																									
109070023CE		00D	1																									
109070023CE	00D	00E	07-080																									
ZAPG310AGD		00B	1																									
100008117		00A	1																									
ZAPG310AFS		00B	1																									
ZAPG310AFS	00B	OBS	12737																									
ZAPG310AHD		00B	1																									
100008125		0A1	1																									
100008125	0A1	0A2	19679																									
100008128		00A	1																									
100008128	00A	00B	1997																									
100008128	00B	0B1	3005																									
100008128	0B1	00C	5536A																									
ZAPG310AGS		00B	1																									
ZAPG310AGS	00B	OBS	12737																									
100008130		00A	1																									
100008130	00A	00B	5384																									
100005964BC		0OB	1																									
100005964BH		00D	1																									
100005964BH	00D	00E	05-133																									
100008136		00A	1																									
ZAPG310AHS		00B	1																									
ZAPG310AHS	00B	OBS	12737																									
93-0898		00A	1																									
100319701		00D	1																									
100319701	00D	00E	00-218																									
100319701	00E	00F	01-002																									
100319701	00F	00G	03-213																									
100319701	00G	0G1	04-251																									
100319701	0G1	00H	06-017																									
100319703		00E	1																									
100319703	00E	00F	03-213																									
100319703	00F	0F1	04-251																									
100319703	0F1	00G	06-017																									
100319703	00G	00H	07-057																									
103170010SH		0C1	1																									
103170010SH	0C1	00D	07-124																									
100319711		0B1	1																									
100319711	0B1	00C	06-017																									
100319711	00C	00D	07-057																									
100319711	00D	0D1	6990																									
93-0915		00A	1																									
SP93-5009X		00A	1																									
93-0916		00A	1																									
"THIS,IS,A,TEST"		1	1																									
100008163		00A	1																									
100006977BH		00A	1																									
100008183		00A	1																									
100008183	00A	OBS	3412																									
100319743		0B1	1																									
100319743	0B1	0B2	04-251																									
100319743	0B2	00C	06-017																									
100319743	00C	00D	07-057																									
100008188		00A	1																									
100000404		00C	1																									
100319755		00D	1																									
100319755	00D	0D1	04-251																									
100319755	0D1	00E	06-017																									
100319755	00E	00F	07-057																									
100008198		00A	1																									
100008204		00A	1																									
100008204	00A	00B	05-137																									
93-0962		00A	1																									
100008205		00B	1																									
100008205	00B	00C	05-137																									
100008205	00C	00D	05-166																									
100008205	00D	00A																										
100008205	00A	00E	14928																									
100008206		00A	1																									
100008210		00A	1																									
100008210	00A	0A1	21705																									
100008211		00A	1																									
937BH		0A1	1																									
100008222		0A1	1																									
100008223		0A1	1																									
100008224		00A	1																									
100008227		00A	1																									
100008238		00A	1																									
100008238	00A	00B	5384																									
100008239		00A	1																									
100008239	00A	00B	07-007																									
100008239	00B	00C	16306																									
100008240		00A	1																									
100008240	00A	00B	02-029																									
100008240	00B	00C	14297																									
100008241		00A	1																									
100008244		0A1	1																									
100008244	0A1	0A2	2359																									
100008244	0A2	00B	5384																									
103170011SH		0C1	1																									
103170011SH	0C1	00D	07-124																									
100008250		1	1																									
100008253		1	1																									
100008255		1	1																									
100008256		00D	1																									
100008256	00D	00E	03-178																									
100008256	00E	00F	05-009																									
93-8810		OBS	1																									
100008265		1	1																									
100008266		1	1																									
100008266	1	00A	6271																									
100008267		1	1																									
100008267	1	00A	6271																									
100008268		1	1																									
100008269		1	1																									
100008270		1	1																									
100008271		1	1																									
100008273		1	1																									
100008276		1	1																									
100008276	1	00A	6271																									
100008277		00A	1																									
100008277	00A	00B	5384																									
100008278		1	1																									
100008278	1	00A	6271																									
100008279		1	1																									
100008279	1	00A	6271																									
100008283		1	1																									
100008283	1	00A	6271																									
100008284		1	1																									
100008284	1	00A	6271																									
100008285		1	1																									
100008285	1	00A	6271																									
100008286		2	1																									
100008287		1	1																									
100008287	1	00A	6271																									
100008288		1	1																									
100008288	1	00A	6271																									
93-1046		00B	1																									
100008289		1	1																									
100008289	1	00A	6271																									
100008290		1	1																									
100008291		0A1	1																									
100008291	0A1	00B	5384																									
93-1049		00B	1																									
100008292		0A1	1																									
100008292	0A1	00B	5384																									
100008294		00B	1																									
100008294	00B	00C	5384																									
100008296		0A1	1																									
100008297		00A	1																									
100008297	00A	OBS	01-188																									
100008298		00A	1																									
100008298	00A	OBS	01-188																									
100008299		00A	1																									
100008299	00A	OBS	01-188																									
109070025AL		OBS	1																									
100008300		00A	1																									
100008300	00A	OBS	01-188																									
100009326K		00D	1																									
100009326K	00D	OBS	2543																									
100008304		0B1	1																									
100008304	0B1	00C	5384																									
99-0816		00A	1																									
109070025CE		00D	1																									
109070025CE	00D	00E	07-080																									
100008324		0A1	1																									
100008324	0A1	00B	5384																									
100008324	00B	OBS	12587																									
93-8871		00A	1																									
100008325		0B1	1																									
100008325	0B1	0B3	3005																									
100008325	0B3	00C	5470																									
100008326		0A1	1																									
100008326	0A1	OBS	12587																									
100000175-316		00A	1																									
100000175-316	00A	00B	08-055																									
100008327		0A1	1																									
100008328		00B	1																									
100008328	00B	00C	05-149																									
100008328	00C	OBS	12587																									
100312101		0J1	1																									
100312101	0J1	00K	07-057																									
100008346		00A	1																									
100008347		00A	1																									
103170012SH		0C1	1																									
103170012SH	0C1	00D	07-124																									
100008348		00A	1																									
100008348	00A	00B	5384																									
100008349		00A	1																									
100008349	00A	00B	5384																									
100008350		0A2	1																									
100008350	0A2	00B	5384																									
100008351		00A	1																									
100008351	00A	00B	5384																									
100008352		OBS	1																									
100008353		OBS	1																									
100008354		00B	1																									
100008354	00B	OBS	2026																									
100000566		00C	1																									
100008355		00A	1																									
100008356		00A	1																									
100008356	00A	0A1	17009																									
100008357		00B	1																									
100008357	00B	0B1	2051																									
100008357	0B1	0B2	07-127																									
100008358		00A	1																									
100008358	00A	0A1	04-251																									
100008359		00A	1																									
100008359	00A	OBS	2026																									
100008360		0A1	1																									
100008360	0A1	00B	5384																									
104230001		00B	1																									
104230002		00B	1																									
104230003		00B	1																									
99-0877		00A	1																									
104230004		00B	1																									
103170014BH		00B	1																									
103170014BH	00B	00C	07-124																									
104230020		00B	1																									
104230020	00B	0B2	4264																									
104230020	0B2	0B3	08-261B																									
109070026AL		OBS	1																									
100008412		00A	1																									
100008412	00A	0A1	5937																									
109070026CE		00D	1																									
109070026CE	00D	00E	07-080																									
93-8980		00A	1																									
103170013SH		0C1	1																									
103170013SH	0C1	00D	07-124																									
100008448		00F	1																									
100008448	00F	00G	5384																									
100008448	00G	00H	5536A																									
100008448	00H	00I	6190																									
100008449		00B	1																									
100008449	00B	00C	5470																									
100008450		00C	1																									
100008450	00C	00D	5384																									
100008450	00D	0D1	7032																									
100008451		00C	1																									
100008451	00C	0C1	4251																									
100008451	0C1	00D	5384																									
100008451	00D	00E	5536A																									
100008451	00E	0.00E+00	7032																									
100008452		00A	1																									
100008452	00A	00B	5384																									
100008453		0A1	1																									
100008453	0A1	00B	5384																									
100008454		0A2	1																									
100008454	0A2	0A3	2772																									
100008454	0A3	00B	5384																									
100008455		00A	1																									
100008455	00A	00B	5384																									
100008455	00B	00C	6190A																									
100008457		0A1	1																									
100008457	0A1	0A2	4918																									
SP99-7130J		OBS	1																									
100008458		0A1	1																									
100008458	0A1	00B	5470																									
SP99-7130K		OBS	1																									
100008459		00A	1																									
100008460		00A	1																									
SP99-7130N		OBS	1																									
104230101		00A	1																									
SP99-7130Q		OBS	1																									
104230102		00A	1																									
SP99-7130R		OBS	1																									
104230103		00A	1																									
104230104		00A	1																									
SP99-7130U		00A	1																									
SP99-7130V		00A	1																									
100008487		00C	1																									
93-1251		00A	1																									
93-1251	00A	00B	4348																									
100000710		0.00E+00	1																									
100000710	0.00E+00	00F	05-097																									
100008502		00A	1																									
100008502	00A	00B	06-110																									
100008503		00A	1																									
100008504		00A	1																									
100008507		00B	1																									
100008507	00B	00C	00-105																									
100008508		00D	1																									
100008508	00D	00E	00-105																									
100008508	00E	0.00E+00	05-147																									
100008509		0C2	1																									
100008509	0C2	00D	00-105																									
100008509	00D	0D1	05-147																									
100008509	0D1	0D2	4918																									
100008509	0D2	OBS	07-199																									
100008510		0B1	1																									
100008510	0B1	0B2	1924																									
100008510	0B2	00C	5470																									
100008511		0A2	1																									
100008511	0A2	00B	06-219																									
100008511	00B	OBS	12587																									
100008512		00B	1																									
109070027CE		00E	1																									
109070027CE	00E	00F	12737																									
100008513		00A	1																									
100008515		00B	1																									
100008518		00A	1																									
3450018		1	1																									
100008519		00A	1																									
100008520		00A	1																									
93-1278		00A	1																									
100008521		00A	1																									
100008522		0A1	1																									
100008522	0A1	0A2	20705																									
100008523		0A1	1																									
100008523	0A1	0A2	20705																									
100008524		00A	1																									
100008531		00A	1																									
100008531	00A	00B	6190A																									
93-1295		00A	1																									
93-1296		00A	1																									
93-1296	00A	00B	07-124																									
100008547		00A	1																									
100008547	00A	00B	5536A																									
100008547	00B	00C	5536																									
100008547	00C	00D	6190																									
103170014SH		0C1	1																									
103170014SH	0C1	00D	07-124																									
103170014SH	00D	00E	08-165																									
103170014SH	00E	00F	09-004																									
103170014SH	00F	0F1	09-004A																									
100008548		00A	1																									
100008548	00A	00B	5536A																									
100008550		00B	1																									
100008555		00A	1																									
100008556		00C	1																									
100008556	00C	00D	02-401																									
100008556	00D	00E	06-219																									
100008557		00C	1																									
100008557	00C	00D	06-219																									
100008558		00E	1																									
100008558	00E	00F	05-149																									
100008558	00F	00G	13037																									
100008559		00A	1																									
100008562		0C1	1																									
100008562	0C1	00D	5384																									
100008563		00A	1																									
104230201		00A	1																									
100008564		00C	6190A																									
100008564	00C	00B	1																									
104230202		00A	1																									
100008565		00A	1																									
100008565	00A	OBS	3412																									
104230203		00A	1																									
104230204		00A	1																									
100006202BH		0B1	1																									
100006202BH	0B1	0B4	6172																									
100006202BH	0B4	0B5	20207																									
100008573		1	1																									
100008573	1	OBS	3412																									
100008582		00A	1																									
100008582	00A	0A1	1417																									
100008583		00A	1																									
100008584		00A	1																									
100008584	00A	OBS	3412																									
100008585		00A	1																									
100008586		00A	1																									
100008586	00A	0A2	2772																									
100008587		00A	1																									
100006240A		0A1	1																									
100008588		00A	1																									
100008588	00A	00B	5472																									
100006240B		0A1	1																									
100008589		00A	1																									
100008589	00A	0A1	542																									
100008589	0A1	0A2	3536																									
100008589	0A2	0A3	4251																									
100008589	0A3	00B	04-164																									
100008589	00B	0B1	04-164A																									
100008589	0B1	00C	5384																									
100008589	00C	00D	14093																									
100008589	00D	00E	21518																									
100006240C		0A1	1																									
100008590		00A	1																									
100008590	00A	00B	5384																									
100008591		00A	1																									
100008591	00A	00B	5384																									
100008592		00A	1																									
100008592	00A	OBS	3412																									
100008593		00A	1																									
100008593	00A	OBS	3412																									
100000805		00J	1																									
100000805	00J	0J1	04-251																									
100000805	0J1	00K	05-088																									
100000805	00K	00L	07-057																									
100000806		00F	1																									
100000823		00C	1																									
100000823	00C	0C1	21705																									
109070028CE		00E	1																									
109070028CE	00E	00F	07-080																									
100000842		0B1	1																									
100000843		0B1	1																									
100881000		00B	1																									
100881000	00B	00C	07-057A																									
100881000	00C	00D	08-117																									
100008636		0B1	1																									
100008636	0B1	0B2	3005																									
100008636	0B2	00C	5384																									
100008636	00C	00D	6190																									
100008636	00D	00E	6190A																									
100008637		00A	1																									
100008637	00A	0A1	3005																									
100008637	0A1	0A2	3536																									
100008637	0A2	00B	5470																									
100881006		00B	1																									
100881006	00B	00C	07-057A																									
100881006	00C	00D	08-117																									
100881014		00B	1																									
100008647		00A	1																									
100881018		00B	1																									
100008652		0B1	1																									
100008652	0B1	00C	5384																									
100881020		00C	1																									
100008653		00A	1																									
100008653	00A	00B	06-219																									
100000870		00G	1																									
100008661		2	1																									
100008661	2	00A	07-088																									
100008661	00A	0A1	19679																									
100008661	0A1	0A2	20705																									
100000874		00H	1																									
100000874	00H	0H1	04-251																									
100000874	0H1	00I	05-088																									
100000874	00I	00J	07-057																									
100008665		00A	1																									
100008665	00A	00B	5536																									
100008666		00A	1																									
100008666	00A	00B	5384																									
100008667		00A	1																									
100008667	00A	00B	5384																									
100008668		00A	1																									
100008668	00A	00B	5384																									
100008669		00B	1																									
100008673		00B	1																									
100008673	00B	00C	5384																									
100008674		00B	1																									
100008674	00B	00C	00-262																									
100008674	00C	00D	5384																									
100008674	00D	00F	13992																									
100000886		00K	1																									
100008675		00B	1																									
100008675	00B	00C	5384																									
100008676		00B	1																									
100008676	00B	00C	00-262																									
100008676	00C	00D	5384																									
100008680		00B	1																									
100008680	00B	00C	00-262																									
109410005		00D	1																									
109410005	00D	OBS	05-240																									
109410006		00D	1																									
109410006	00D	OBS	05-240																									
93-1441		00A	1																									
109410007		00D	1																									
109410007	00D	OBS	05-240																									
100008684		00A	1																									
100008684	00A	0A1	04-251																									
100008684	0A1	00B	08-144																									
109410008		00D	1																									
109410008	00D	OBS	05-240																									
100008688		00B	1																									
100008688	00B	00C	5384																									
109410017		00B	1																									
109410017	00B	0B1	4275																									
109410017	0B1	OBS	12587																									
100008695		0A1	1																									
100008695	0A1	00B	6190A																									
100008695	00B	0B1	19679																									
100008695	0B1	0B2	20705																									
100008696		0A1	1																									
100008696	0A1	0A2	19679																									
100008696	0A2	0A3	20705																									
99-8998		00A	1																									
100881067		00B	1																									
SP93-6506		00A	19975																									
93-1461		00A	1																									
100008704		00B	1																									
93-1462		00A	1																									
109410028		00B	1																									
109410028	00B	OBS	05-240																									
100008705		00A	1																									
100008706		00B	1																									
109070029CE		00D	1																									
109070029CE	00D	00E	12737																									
SP99A0999		00A	1																									
100312501		00B	1																									
100312503		00B	1																									
103170016SH		0C1	1																									
103170016SH	0C1	00D	07-124																									
93-1511		00A	1																									
100008758		00A	1																									
100008759		00C	1																									
100008765		00A	1																									
100008765	00A	00B	5384																									
100008765	00B	00C	6190																									
100008765	00C	00D	14077																									
100008766		0A1	1																									
100008766	0A1	00B	5384																									
100008767		00A	1																									
100008767	00A	00B	5384																									
100008767	00B	00C	5536A																									
100008768		00A	1																									
100008768	00A	00B	5384																									
100008769		00A	1																									
100008769	00A	00B	5384																									
100008770		00A	1																									
100008770	00A	00B	5536																									
100008770	00B	00C	6190																									
100008771		00A	1																									
100008771	00A	00B	5384																									
100008772		0B1	1																									
100008772	0B1	00C	5384																									
100008773		00A	1																									
100008774		0A1	1																									
100008774	0A1	00B	5384																									
100008775		00A	1																									
100008775	00A	0A1	4586																									
100008775	0A1	00B	5384																									
100008776		00A	1																									
100008776	00A	00B	5384																									
100008776	00B	00C	6190B																									
100008776	00C	00D	21296																									
100008777		00A	1																									
100008777	00A	00B	5384																									
100008777	00B	00C	6190B																									
100008777	00C	00D	21296																									
100008778		00A	1																									
100008778	00A	00B	5384																									
100008779		00A	1																									
100008779	00A	00B	5384																									
100008780		00A	1																									
100008780	00A	0A1	4586																									
100008780	0A1	00B	5384																									
100008781		00A	1																									
100008781	00A	00B	5384																									
100008782		0A3	1																									
100008782	0A3	0A5	4105																									
100008783		0A1	1																									
100008783	0A1	0A3	4105																									
100008784		0A1	1																									
100008784	0A1	0A3	4105																									
100008785		0A1	1																									
100008785	0A1	0A3	4105																									
100008786		0A1	1																									
100008786	0A1	0A3	4105																									
100008787		0A1	1																									
100008787	0A1	0A3	4105																									
100008788		00A	1																									
100008788	00A	00B	5472																									
100008789		0A1	1																									
100008789	0A1	0A3	4105																									
100008790		0A1	1																									
100008790	0A1	0A3	4105																									
100008791		0A1	1																									
100008791	0A1	0A3	4105																									
100008792		0A1	1																									
100008792	0A1	0A3	4105																									
100008793		0A1	1																									
100008793	0A1	0A3	4105																									
100008794		0A1	1																									
100008794	0A1	0A3	4105																									
100008795		0A1	1																									
100008795	0A1	OBS	3412																									
100008796		0A1	1																									
100008796	0A1	0A3	4105																									
100008797		00A	1																									
100008797	00A	00B	5472																									
100008798		0A1	1																									
100008798	0A1	0A3	4105																									
100008799		0A1	1																									
100008799	0A1	0A3	2772																									
100008799	0A3	0A4	4105																									
100008799	0A4	0A5	4251																									
100008800		0A1	1																									
100008800	0A1	0A3	4105																									
100008801		0A1	1																									
100008801	0A1	0A3	4105																									
100008802		0A1	1																									
100008802	0A1	0A3	4105																									
100008803		0A1	1																									
100008803	0A1	0A3	4105																									
41A11DCA1BF002		00A	1																									
100008804		0A1	1																									
100008804	0A1	0A3	4105																									
93-1562		1	1																									
100008805		0A1	1																									
100008805	0A1	0A3	4105																									
100008806		0A1	1																									
100008806	0A1	0A3	4105																									
100008807		0A1	1																									
100008807	0A1	0A3	4105																									
100008808		0A1	1																									
100008808	0A1	0A3	4105																									
100008809		00A	1																									
100008809	00A	0A2	2359																									
100008809	0A2	00B	5536																									
100008809	00B	00C	6190A																									
100008810		00A	1																									
100008810	00A	0A1	4274																									
100008810	0A1	00B	5536																									
100008811		0A2	1																									
100008811	0A2	0A3	1878																									
100008811	0A3	00B	5384																									
100008812		0A2	1																									
100008812	0A2	00B	5384																									
100008812	00B	00C	17235																									
109070030CE		00D	1																									
109070030CE	00D	00E	07-080																									
100008813		00C	1																									
100008813	00C	00D	02-401																									
100008813	00D	00E	06-219																									
100008817		0A2	1																									
100008817	0A2	00B	5536A																									
100008817	00B	00C	6190A																									
100008817	00C	0C1	20705																									
100008817	0C1	00D	20298																									
100008820		00D	1																									
100008820	00D	00E	07-199																									
100008822		00B	1																									
100008822	00B	0B1	1924																									
100008822	0B1	00C	5536																									
100008823		0A1	1																									
100008823	0A1	0A2	3317																									
100008823	0A2	00B	5384																									
100008823	00B	00C	6190A																									
100008835		00A	1																									
100008837		0A1	1																									
100008837	0A1	00B	6190A																									
100008837	00B	00C	07-088																									
100008837	00C	0C1	19679																									
100008837	0C1	0C2	20705																									
100008839		0A1	1																									
100008839	0A1	00B	5384																									
100008840		00A	1																									
100008840	00A	00B	5384																									
100008841		0A1	1																									
100008841	0A1	00B	5536																									
100008842		00A	1																									
100008842	00A	00B	5536																									
100008843		0A1	1																									
100008843	0A1	00B	5536																									
100008844		00A	1																									
100008844	00A	00B	1410																									
100008844	00B	0B1	3000																									
100008844	0B1	00C	03-329																									
100008844	00C	0C1	4194																									
100008844	0C1	0C2	4274																									
100008844	0C2	00D	5536																									
100008844	00D	00E	6190A																									
100008845		00B	1																									
100008845	00B	00C	5384																									
100008846		00A	1																									
100008846	00A	00B	5384																									
100008846	00B	00C	5536A																									
100008847		0A1	1																									
100008847	0A1	0A2	2772																									
100008847	0A2	00B	5536																									
100008847	00B	00C	14077																									
103170017SH		00A	1																									
103170017SH	00A	OBS	12194																									
100008848		00B	1																									
100008849		0A2	1																									
100008849	0A2	00B	5472																									
100008850		00C	1																									
100008851		1	1																									
100008852		00A	1																									
100008853		00A	1																									
100008853	00A	00B	5536																									
100008855		00A	1																									
100008855	00A	OBS	2026																									
100008856		00A	1																									
100008856	00A	00B	5384																									
100008856	00B	00C	5536A																									
100008856	00C	00D	5536B																									
100008863		00C	1																									
100008863	00C	00D	00-105																									
100008863	00D	0D1	05-147																									
100008864		0.00E+00	1																									
100008864	0.00E+00	00F	00-105																									
100008864	00F	0F1	05-147																									
100008864	0F1	OBS	07-149																									
100008865		00E	1																									
100008865	00E	00F	07-149																									
100008874		0A1	1																									
100008878		00A	1																									
100008879		00A	1																									
100008879	00A	00B	5536																									
100008880		00A	1																									
100008880	00A	00B	5384																									
100008881		00B	1																									
100008881	00B	00C	5536																									
100008881	00C	00D	15871																									
100008888		0A1	1																									
100008888	0A1	0A2	1960																									
100008888	0A2	0A3	3317																									
100008888	0A3	00B	5384																									
100008889		00A	1																									
100008889	00A	00B	00-105																									
100008889	00B	0B1	6190A																									
100008889	0B1	0B2	6190																									
100008890		0A1	1																									
100008890	0A1	00B	5384																									
100008890	00B	00C	5536A																									
100008890	00C	00D	6190																									
100008891		00A	1																									
100008891	00A	00B	00-105																									
100008891	00B	2	5925																									
100008892		00C	1																									
100008892	00C	0D1	05-046																									
100008892	0D1	00D	03-237																									
100008905		00A	1																									
100008905	00A	OBS	3412																									
100008906		0A1	1																									
100008906	0A1	OBS	3412																									
100008907		00A	1																									
100008907	00A	OBS	3412																									
109070031CE		1	1																									
109070031CE	1	00A	12737																									
100008914		00A	1																									
100008915		00B	1																									
100008915	00B	0B2	2772																									
100008916		00B	1																									
100008916	00B	0B1	1998																									
100008916	0B1	0B3	3000																									
100008917		00B	1																									
100008917	00B	0B1	1998																									
93-1679		00A	1																									
100001138		0A1	1																									
100001138	0A1	0A2	20705																									
100312701		00B	1																									
